Circuit_ID,Driver_ID,Team_ID,Position,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year,Total Time/Gap/Retirement,+1 Pt,Set Fastest Lap,Fastest Lap Time
16,9,7,13,9.0,53,+97.295,0,1:42.550,2014,,,,
16,10,7,14,5.0,52,+1 lap,0,1:42.022,2014,,,,
16,13,8,15,13.0,52,+1 lap,0,1:44.075,2014,,,,
16,12,8,16,14.0,52,+1 lap,0,1:43.822,2014,,,,
16,16,10,17,15.0,52,+1 lap,0,1:44.461,2014,,,,
16,17,10,18,21.0,52,+1 lap,0,1:44030,2014,,,,
16,18,11,19,16.0,51,+2 laps,0,1:43.979,2014,,,,
16,22,11,NC,19.0,21,DNF,0,1:47.407,2014,,,,
16,14,9,NC,20.0,9,DNF,0,1:48.268,2014,,,,
17,20,1,1,2.0,56,1:40:04.785,25,1:41.929,2014,,,,
17,1,1,2,1.0,56,+4.314,18,1:41.932,2014,,,,
17,2,2,3,5.0,56,+25.560,15,1:42.831,2014,,,,
17,21,5,4,4.0,56,+26.924,12,1:42.971,2014,,,,
17,6,5,5,3.0,56,+30.992,10,1:42.505,2014,,,,
17,5,4,6,6.0,56,+95.231,8,1:41.474,2014,,,,
17,19,2,7,18.0,56,+95.734,6,1:41.379,2014,,,,
17,3,3,8,7.0,56,+100.682,4,1:44.287,2014,,,,
17,17,10,9,10.0,56,+107.870,2,1:43.808,2014,,,,
17,9,7,10,14.0,56,+108.863,1,1:44.180,2014,,,,
17,16,10,11,16.0,55,+1 lap,0,1:44.440,2014,,,,
17,4,3,12,12.0,55,+1 lap,0,1:44.255,2014,,,,
17,8,4,13,8.0,55,+1 lap,0,1:42.888,2014,,,,
17,13,8,14,15.0,55,+1 lap,0,1:43.006,2014,,,,
17,10,7,15,17.0,55,+1 lap,0,1:41.689,2014,,,,
17,7,6,NC,13.0,16,DNF,0,1:46.226,2014,,,,
17,11,6,NC,11.0,1,DNF,0,,2014,,,,
17,12,8,NC,9.0,0,DNF,0,,2014,,,,
18,1,1,1,1.0,71,1:30:02.555,25,1:13.619,2014,,,,
18,20,1,2,2.0,71,+1.457,18,1:13.555,2014,,,,
18,21,5,3,3.0,71,+1.031,15,1:14.101,2014,,,,
18,4,3,4,5.0,71,+48.658,12,1:13.999,2014,,,,
18,19,2,5,6.0,71,+51.420,10,1:14.018,2014,,,,
18,5,4,6,8.0,71,+61.906,8,1:14.313,2014,,,,
18,8,4,7,10.0,71,+63.730,6,1:14.963,2014,,,,
18,7,6,8,12.0,71,+63.934,4,1:13.728,2014,,,,
18,3,3,9,7.0,71,+70.085,2,1:14.544,2014,,,,
18,6,5,10,4.0,70,+1 lap,1,1:14.229,2014,,,,
18,10,7,11,17.0,70,+1 lap,0,1:14.144,2014,,,,
18,17,10,12,16.0,70,+1 lap,0,1:14.810,2014,,,,
18,9,7,13,15.0,70,+1 lap,0,1:14.774,2014,,,,
18,13,8,14,11.0,70,+1 lap,0,1:14.875,2014,,,,
18,11,6,15,18.0,70,+1 lap,0,1:14.550,2014,,,,
18,12,8,16,13.0,70,+1 lap,0,1:14.834,2014,,,,
18,16,10,17,14.0,63,DNF,0,1:14.070,2014,,,,
18,2,2,NC,9.0,39,DNF,0,1:15.387,2014,,,,
19,20,1,1,2.0,55,1:39:02.619,50,1:45.599,2014,,,,
19,21,5,2,4.0,55,+2.576,36,1:44.826,2014,,,,
19,6,5,3,3.0,55,+28.880,30,1:45.727,2014,,,,
19,2,2,4,19.0,55,+37.237,24,1:44.496,2014,,,,
19,4,3,5,6.0,55,+60.334,20,1:46.739,2014,,,,
19,7,6,6,12.0,55,+62.148,16,1:45.777,2014,,,,
19,11,6,7,11.0,55,+71.060,12,1:45.808,2014,,,,
19,19,2,8,20.0,55,+72.045,8,1:45.552,2014,,,,
19,5,4,9,8.0,55,+85.813,4,1:47.424,2014,,,,
19,8,4,10,7.0,55,+87.820,2,1:47.736,2014,,,,
19,3,3,11,9.0,55,+90.376,0,1:46.824,2014,,,,
